name,iterations,median_ns,min_ns,max_ns,checksum,samples_ns
loop_control,300000,0.547,0.274,0.550,404998650000,0.276;0.367;0.547;0.548;0.548;0.550;0.549;0.362;0.274
roads_array_recompute,100000,95.677,91.784,102.442,1278063985652402340,92.567;92.697;92.042;91.784;95.677;95.735;95.972;95.933;102.442
roads_bits_recompute,100000,33.250,32.484,34.049,1278063985652402340,33.790;33.342;32.873;33.494;34.049;32.639;33.133;32.484;33.250
roads_bits_cached_nodes,100000,5.652,5.627,5.741,1278063985652402340,5.683;5.709;5.652;5.741;5.702;5.628;5.627;5.627;5.632
longest_road_vec_paths,10000,4871.070,3811.340,5027.530,357057,4931.160;5027.530;4899.280;4871.070;4876.040;3811.340;3817.010;3816.070;3823.560
longest_road_bit_paths,10000,310.560,309.490,317.430,357057,317.430;310.950;310.300;310.560;310.880;309.820;309.720;309.490;316.700
enum_dispatch,500000,1.624,1.620,1.628,1060815096,1.626;1.628;1.623;1.627;1.623;1.623;1.627;1.620;1.624
packed_decode_dispatch,500000,0.888,0.880,0.900,1060815096,0.900;0.880;0.880;0.889;0.886;0.887;0.888;0.892;0.889
roads_vec_fresh,100000,56.527,56.318,57.736,5850045,57.736;56.504;56.782;56.466;56.318;56.821;56.527;56.403;56.567
roads_vec_reused,100000,8.537,8.508,8.591,5850045,8.591;8.585;8.548;8.541;8.512;8.524;8.537;8.508;8.518
roads_stack_initialized,100000,11.394,11.321,11.534,5850045,11.532;11.476;11.394;11.534;11.415;11.355;11.359;11.321;11.350
roads_select_from_reused_vec,100000,9.364,9.325,9.539,42565860,9.364;9.325;9.371;9.361;9.354;9.368;9.347;9.372;9.539
roads_select_rank_bits,100000,4.960,4.867,6.672,42565860,6.672;5.755;5.270;5.085;4.960;4.907;4.877;4.867;4.903
copy_mutate_256B,200000,3.312,3.309,3.330,229942584,3.317;3.330;3.310;3.312;3.323;3.312;3.309;3.323;3.311
mutate_undo_256B_8bytes,200000,2.391,2.365,2.591,229942584,2.368;2.365;2.391;2.381;2.386;2.397;2.410;2.405;2.591
copy_mutate_512B,200000,4.035,4.022,4.065,229252860,4.065;4.026;4.022;4.039;4.035;4.040;4.027;4.026;4.046
mutate_undo_512B_8bytes,200000,2.873,2.829,2.938,229252860,2.938;2.913;2.877;2.871;2.873;2.898;2.854;2.853;2.829
copy_mutate_1024B,200000,8.353,7.508,8.433,228908880,8.353;8.427;8.433;8.358;8.392;8.075;7.789;7.595;7.508
mutate_undo_1024B_8bytes,200000,2.978,2.799,3.138,228908880,2.945;3.010;2.962;2.981;2.978;3.138;3.006;2.921;2.799
copy_mutate_4096B,200000,21.302,21.086,21.500,228649572,21.125;21.281;21.500;21.302;21.276;21.309;21.468;21.339;21.086
mutate_undo_4096B_8bytes,200000,3.039,3.022,3.175,228649572,3.060;3.035;3.039;3.035;3.043;3.022;3.106;3.037;3.175
