name,iterations,median_ns,min_ns,max_ns,checksum,samples_ns
loop_control,300000,0.268,0.267,0.286,404998650000,0.271;0.268;0.268;0.267;0.286;0.267;0.267;0.267;0.268
roads_array_recompute,100000,94.727,92.565,99.741,1278063985652402340,94.487;94.308;99.741;94.727;95.466;95.273;95.782;94.553;92.565
roads_bits_recompute,100000,32.108,30.863,32.845,1278063985652402340,32.108;32.102;32.453;32.845;32.213;31.321;32.804;30.880;30.863
roads_bits_cached_nodes,100000,5.623,5.602,5.684,1278063985652402340,5.683;5.668;5.684;5.647;5.608;5.602;5.623;5.613;5.621
longest_road_vec_paths,10000,3823.550,3809.850,3852.180,357057,3852.180;3848.900;3811.120;3823.550;3809.850;3847.680;3817.620;3836.440;3817.250
longest_road_bit_paths,10000,312.920,309.290,315.300,357057,314.100;314.730;310.020;309.720;313.010;312.920;315.300;309.290;309.510
enum_dispatch,500000,1.626,1.622,1.667,1060815096,1.629;1.622;1.622;1.626;1.622;1.628;1.667;1.633;1.623
packed_decode_dispatch,500000,0.886,0.880,0.901,1060815096,0.901;0.880;0.886;0.883;0.883;0.884;0.892;0.889;0.889
roads_vec_fresh,100000,56.719,56.535,57.627,5850045,57.627;56.711;56.766;56.816;56.630;56.611;56.719;56.535;56.967
roads_vec_reused,100000,8.526,8.501,8.708,5850045,8.708;8.562;8.549;8.515;8.537;8.507;8.526;8.501;8.502
roads_stack_initialized,100000,11.578,11.354,11.612,5850045,11.589;11.578;11.544;11.597;11.544;11.612;11.452;11.354;11.609
roads_select_from_reused_vec,100000,9.334,9.322,9.366,42565860,9.333;9.348;9.322;9.322;9.345;9.326;9.351;9.334;9.366
roads_select_rank_bits,100000,4.996,4.862,6.946,42565860,6.946;5.777;5.309;5.092;4.996;4.945;4.927;4.887;4.862
copy_mutate_256B,200000,2.389,2.356,2.433,229942584,2.356;2.383;2.374;2.433;2.389;2.376;2.389;2.392;2.404
mutate_undo_256B_8bytes,200000,2.375,2.337,2.387,229942584,2.370;2.337;2.348;2.369;2.376;2.375;2.377;2.377;2.387
copy_mutate_512B,200000,4.673,4.649,4.785,229252860,4.710;4.665;4.785;4.671;4.649;4.673;4.721;4.721;4.653
mutate_undo_512B_8bytes,200000,2.954,2.940,2.975,229252860,2.948;2.941;2.963;2.953;2.954;2.940;2.959;2.959;2.975
copy_mutate_1024B,200000,7.987,6.741,8.095,228908880,7.987;8.077;8.095;8.092;8.060;7.764;7.503;7.385;6.741
mutate_undo_1024B_8bytes,200000,3.028,2.914,3.068,228908880,3.027;3.034;3.068;2.971;2.914;3.065;3.002;3.028;3.038
copy_mutate_4096B,200000,19.444,19.371,20.640,228649572,20.640;19.444;19.407;19.709;19.375;19.451;19.439;19.544;19.371
mutate_undo_4096B_8bytes,200000,3.105,3.074,3.152,228649572,3.152;3.092;3.089;3.074;3.088;3.105;3.135;3.142;3.119
