name,iterations,median_ns,min_ns,max_ns,checksum,samples_ns
loop_control,300000,0.269,0.267,0.275,404998650000,0.275;0.269;0.268;0.270;0.268;0.267;0.269;0.269;0.270
roads_array_recompute,100000,91.729,91.097,92.606,1278063985652402340,91.877;91.443;92.139;91.729;92.136;92.606;91.097;91.162;91.268
roads_bits_recompute,100000,32.194,31.868,32.687,1278063985652402340,32.478;32.265;32.230;32.194;32.044;31.986;31.868;31.985;32.687
roads_bits_cached_nodes,100000,5.435,5.389,5.483,1278063985652402340,5.482;5.460;5.483;5.435;5.440;5.422;5.408;5.405;5.389
longest_road_vec_paths,10000,3672.100,3658.510,3689.740,357057,3681.150;3689.740;3667.070;3658.510;3664.300;3675.990;3679.650;3672.100;3667.010
longest_road_bit_paths,10000,321.490,317.500,325.500,357057,325.500;322.350;323.250;318.410;317.500;319.350;321.490;324.910;319.240
enum_dispatch,500000,1.164,1.152,1.176,1060815096,1.152;1.153;1.157;1.164;1.161;1.165;1.166;1.171;1.176
packed_decode_dispatch,500000,1.201,1.185,1.239,1060815096,1.201;1.214;1.193;1.187;1.201;1.185;1.185;1.239;1.204
roads_vec_fresh,100000,55.394,54.990,57.899,5850045,55.961;55.727;55.381;55.324;55.505;57.899;54.990;55.128;55.394
roads_vec_reused,100000,8.529,8.135,8.974,5850045,8.544;8.573;8.932;8.529;8.974;8.265;8.470;8.423;8.135
roads_stack_initialized,100000,10.958,10.869,11.154,5850045,11.058;11.067;10.914;10.953;11.004;10.958;10.869;10.921;11.154
roads_select_from_reused_vec,100000,9.352,9.057,9.377,42565860,9.369;9.372;9.116;9.057;9.266;9.352;9.377;9.362;9.207
roads_select_rank_bits,100000,7.031,6.825,9.012,42565860,9.012;7.489;7.178;7.031;6.959;6.890;6.846;6.825;8.534
copy_mutate_256B,200000,2.856,2.804,2.905,229942584,2.804;2.846;2.900;2.905;2.863;2.811;2.828;2.856;2.872
mutate_undo_256B_8bytes,200000,2.346,2.333,2.365,229942584,2.354;2.357;2.365;2.348;2.346;2.345;2.334;2.333;2.333
copy_mutate_512B,200000,5.149,4.783,6.831,229252860,5.149;5.218;5.224;5.171;5.075;4.991;4.927;4.783;6.831
mutate_undo_512B_8bytes,200000,3.006,2.469,3.047,229252860,2.469;3.006;3.013;3.047;3.010;3.006;3.006;3.023;2.991
copy_mutate_1024B,200000,7.042,6.909,7.710,228908880,6.909;6.977;7.011;7.040;7.065;7.042;7.710;7.046;7.069
mutate_undo_1024B_8bytes,200000,3.084,3.015,3.116,228908880,3.115;3.116;3.096;3.084;3.110;3.032;3.050;3.049;3.015
copy_mutate_4096B,200000,21.233,20.994,21.814,228649572,21.307;21.570;21.233;21.116;21.299;21.814;21.056;20.994;21.189
mutate_undo_4096B_8bytes,200000,3.146,3.103,3.209,228649572,3.184;3.103;3.144;3.158;3.142;3.209;3.131;3.146;3.148
